,model,oxide_main_minion,conjure,oxide_main_sat,oxide_main_sat_direct,oxide_main_sat_order,oxide_main_treemorph
203,models/custom/STARIS_2022/symmetry-detection/succ-symmetry-detection/succ-symmetry-detection.essence,-1.0,0.7313354150392115,-1.0,,,
204,models/custom/autoig/generator-to-irace/warns/warns.essence,0.0688972829375416,-1.0,-1.0,,,
205,models/custom/STARIS_2022/symmetry-detection/toInt-symmetry-detection/toInt-symmetry-detection.essence,0.07273163599893451,0.7254706239327788,0.06903765304014087,,,
206,models/custom/autoig/generator-to-irace/works/works.essence,0.07515546097420156,-1.0,-1.0,,,
207,models/custom/basic/enum_duplicate_name/e.essence,-1.0,-1.0,-1.0,,,
208,models/custom/STARIS_2022/symmetry-detection/together-symmetry-detection/together-symmetry-detection.essence,-1.0,0.731466126977466,-1.0,,,
209,models/custom/STARIS_2022/symmetry-detection/toRelation-symmetry-detection/toRelation-symmetry-detection.essence,-1.0,0.8284011880168691,-1.0,,,
210,models/custom/STARIS_2022/symmetry-detection/toSet-symmetry-detection/toSet-symmetry-detection.essence,-1.0,0.7788131521083415,-1.0,,,
211,models/custom/STARIS_2022/symmetry-detection/toMSet-symmetry-detection/toMSet-symmetry-detection.essence,-1.0,0.7962679920019582,-1.0,,,
212,models/custom/basic/enum_functions/enum_functions.essence,-1.0,-1.0,-1.0,,,
213,models/custom/STARIS_2022/symmetry-detection/union-symmetry-detection/union-symmetry-detection.essence,-1.0,0.7629603180103004,-1.0,,,
214,models/custom/basic/function-literal-suggestion/func.essence,0.07644094107672572,-1.0,-1.0,,,
215,models/custom/STARIS_2022/symmetry-detection/xor-symmetry-detection/xor-symmetry-detection.essence,-1.0,0.7225022279890254,-1.0,,,
216,models/custom/absoluteExistingEprimes/test.essence,-1.0,0.7212037729332224,-1.0,,,
217,models/custom/allDiffDecomp/1/allDiffDecomp.essence,-1.0,0.7408383709844202,-1.0,,,
218,models/custom/allDiff-chuffed/model.essence,-1.0,0.771297215949744,-1.0,,,
219,models/custom/astjson-roundtrip/sample.essence,0.08536203904077411,0.7307218799833208,0.15258933091536164,,,
220,models/custom/allDiffDecomp/2/allDiffDecomp.essence,-1.0,0.8168701060349122,-1.0,,,
221,models/custom/basic/comprehension-cardinality/comp.essence,-1.0,0.7474690440576524,-1.0,,,
222,models/custom/basic/concatenate/concatenate.essence,-1.0,0.7274354039691389,-1.0,,,
223,models/custom/basic/enumerate_enum_domain/e.essence,-1.0,0.736811400973238,-1.0,,,
224,models/custom/basic/function_partial_int_param/function_partial_int_param.essence,-1.0,-1.0,-1.0,,,
225,models/custom/basic/parsing-imply/1_noparens.essence,-1.0,-1.0,-1.0,,,
226,models/custom/basic/given-seq-seq/seqseq.essence,-1.0,-1.0,-1.0,,,
227,models/custom/basic/parsing-imply/4_mixparens.essence,-1.0,-1.0,-1.0,,,
228,models/custom/basic/modelling-cache/example.essence,-1.0,-1.0,-1.0,,,
229,models/custom/basic/function_card_01/function_card_01.essence,-1.0,0.7606206120690331,-1.0,,,
230,models/custom/basic/multiple-branching-on/test.essence,-1.0,-1.0,-1.0,,,
231,models/custom/basic/function_card_02/function_card_02.essence,-1.0,0.7939668010221794,-1.0,,,
232,models/custom/basic/function_imageSet01/function_imageSet01.essence,-1.0,0.7980864879209548,-1.0,,,
233,models/custom/basic/multiple-heuristic/test.essence,-1.0,-1.0,-1.0,,,
234,models/custom/basic/function_partial_int_01/function_partial_int_01.essence,-1.0,0.7446381570771337,-1.0,,,
235,models/custom/basic/function_inverse_01/function_inverse_01.essence,-1.0,0.797731431084685,-1.0,,,
